timestamp,tx_id,account_id,amount,currency
1718264675,TXID-10001,ACC-20001,4620.23,INR
1718264676,TXID-10002,ACC-20002,2969.54,USD
1718264677,TXID-10003,ACC-20003,1531.97,INR
1718264678,TXID-10004,ACC-20004,2894.70,USD
1718264679,TXID-10005,ACC-20005,3700.67,INR
1718264680,TXID-10006,ACC-20006,3934.63,USD
1718264681,TXID-10007,ACC-20007,2181.85,INR
1718264682,TXID-10008,ACC-20008,1660.98,USD
1718264683,TXID-10009,ACC-20009,3894.40,INR
1718264684,TXID-10010,ACC-20000,504.43,USD
1718264685,TXID-10011,ACC-20001,3925.42,INR
1718264686,TXID-10012,ACC-20002,4175.80,USD
1718264687,TXID-10013,ACC-20003,3806.04,INR
1718264688,TXID-10014,ACC-20004,2480.38,USD
1718264689,TXID-10015,ACC-20005,2131.49,INR
1718264690,TXID-10016,ACC-20006,4728.99,USD
1718264691,TXID-10017,ACC-20007,4109.01,INR
1718264692,TXID-10018,ACC-20008,3546.34,USD
1718264693,TXID-10019,ACC-20009,789.14,INR
1718264694,TXID-10020,ACC-20000,598.76,USD
1718264695,TXID-10021,ACC-20001,4548.43,INR
1718264696,TXID-10022,ACC-20002,4340.42,USD
1718264697,TXID-10023,ACC-20003,2246.28,INR
1718264698,TXID-10024,ACC-20004,3527.16,USD
1718264699,TXID-10025,ACC-20005,1998.43,INR
1718264700,TXID-10026,ACC-20006,3225.24,USD
1718264701,TXID-10027,ACC-20007,3480.82,INR
1718264702,TXID-10028,ACC-20008,1501.06,USD
1718264703,TXID-10029,ACC-20009,2958.32,INR
1718264704,TXID-10030,ACC-20000,4782.85,USD
1718264705,TXID-10031,ACC-20001,781.59,INR
1718264706,TXID-10032,ACC-20002,3984.38,USD
1718264707,TXID-10033,ACC-20003,661.94,INR
1718264708,TXID-10034,ACC-20004,2741.18,USD
1718264709,TXID-10035,ACC-20005,4921.53,INR
1718264710,TXID-10036,ACC-20006,4115.37,USD
1718264711,TXID-10037,ACC-20007,2114.92,INR
1718264712,TXID-10038,ACC-20008,4821.82,USD
1718264713,TXID-10039,ACC-20009,3969.57,INR
1718264714,TXID-10040,ACC-20000,867.65,USD
1718264715,TXID-10041,ACC-20001,2844.08,INR
1718264716,TXID-10042,ACC-20002,4662.60,USD
1718264717,TXID-10043,ACC-20003,1026.12,INR
1718264718,TXID-10044,ACC-20004,99.53,USD
1718264719,TXID-10045,ACC-20005,4245.90,INR
1718264720,TXID-10046,ACC-20006,3630.04,USD
1718264721,TXID-10047,ACC-20007,3790.50,INR
1718264722,TXID-10048,ACC-20008,987.88,USD
1718264723,TXID-10049,ACC-20009,3742.95,INR
1718264724,TXID-10050,ACC-20000,2167.54,USD
1718264725,TXID-10051,ACC-20001,2331.16,INR
1718264726,TXID-10052,ACC-20002,3908.13,USD
